Items in order,lemmatized_text
"2 x Margherita Pizza, 2 x Fried Chicken Strips, 2 x Angara Paneer Melt",x margherita pizza x fried chicken strip x angara paneer melt
"1 x Herbed Potato, 1 x Onion Rings, 1 x Margherita Pizza, 1 x Peri Peri Paneer Pizza, 1 x Cheesy Garlic Bread",x herbed potato x onion ring x margherita pizza x peri peri paneer pizza x cheesy garlic bread
"1 x Murgh Amritsari Seekh Pide, 1 x Herbed Potato",x murgh amritsari seekh pide x herbed potato
"1 x Chilli Cheese Garlic Bread, 1 x Masala Paneer Pide",x chilli cheese garlic bread x masala paneer pide
"1 x Murgh Amritsari Seekh Pide, 1 x Grilled Tangdis",x murgh amritsari seekh pide x grilled tangdis
"1 x OG Cheese Pide, 1 x Murgh Amritsari Seekh Pide",x og cheese pide x murgh amritsari seekh pide
2 x OG Cheese Pide,x og cheese pide
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Makhani Paneer Pizza, 1 x Herbed Potato",x makhani paneer pizza x herbed potato
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Peri Peri Paneer Pizza, 1 x Masala Paneer Pide",x peri peri paneer pizza x masala paneer pide
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
"1 x Pepperoni Garlic Bread, 1 x All About Chicken Pizza, 1 x Fried Chicken Strips, 1 x Grilled Tangdis",x pepperoni garlic bread x chicken pizza x fried chicken strip x grilled tangdis
"1 x Angara Paneer Melt, 1 x Mushroom Mozzarella Melt",x angara paneer melt x mushroom mozzarella melt
"1 x Peri Peri Crisper Fries, 1 x Peri Peri Paneer Pizza, 1 x Chilli Cheese Garlic Bread",x peri peri crisper fry x peri peri paneer pizza x chilli cheese garlic bread
"1 x Peanut Butter Chocolate Pide, 1 x Tipsy Tiger Fresh Lime Soda, 1 x Makhani Paneer Pizza",x peanut butter chocolate pide x tipsy tiger fresh lime soda x makhani paneer pizza
"1 x Peri Peri Grilled Chicken Pizza, 1 x Murgh Amritsari Garlic Bread, 1 x Fried Chicken Strips",x peri peri grilled chicken pizza x murgh amritsari garlic bread x fried chicken strip
1 x Bacon Pepperoni Melt,x bacon pepperoni melt
"1 x Fried Chicken Strips, 1 x All About Chicken Pizza",x fried chicken strip x chicken pizza
1 x Bageecha Pizza,x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Herbed Potato, 1 x Mushroom Pizza",x herbed potato x mushroom pizza
"1 x Bageecha Pizza, 1 x All About Chicken Pizza",x bageecha pizza x chicken pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Masala Paneer Pide,x masala paneer pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Herbed Potato, 1 x Onion Rings",x herbed potato x onion ring
"1 x Murgh Amritsari Garlic Bread, 1 x Bageecha Pizza",x murgh amritsari garlic bread x bageecha pizza
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x Bellpepper Onion Pizza, 1 x Makhani Paneer Pizza, 1 x Tripple Cheese Pizza, 1 x Mushroom Pizza, 1 x Cheesy Garlic Bread, 1 x Chilli Cheese Garlic Bread",x bellpepper onion pizza x makhani paneer pizza x tripple cheese pizza x mushroom pizza x cheesy garlic bread x chilli cheese garlic bread
"1 x Just Pepperoni Pizza, 1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x pepperoni pizza x bageecha pizza x chilli cheese garlic bread
1 x Bageecha Pizza,x bageecha pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Margherita Pizza,x margherita pizza
"1 x Peri Peri Paneer Pizza, 1 x Mushroom Pizza",x peri peri paneer pizza x mushroom pizza
"1 x Mushroom Mozzarella Melt, 1 x Herbed Potato",x mushroom mozzarella melt x herbed potato
1 x Dirty Saucy Fries,x dirty saucy fry
1 x Dirty Saucy Fries,x dirty saucy fry
1 x Chicken Smashed Burger,x chicken smashed burger
1 x Carribean Jerk Boneless Grilled Chicken Breast,x carribean jerk boneless grilled chicken breast
1 x Peri Peri Boneless Grilled Chicken Breast,x peri peri boneless grilled chicken breast
1 x Chicken 65 Grilled Chicken Quarter,x chicken grilled chicken quarter
1 x Chicken 65 Boneless Grilled Chicken Breast,x chicken boneless grilled chicken breast
"1 x Coleslaw, 1 x Smoky BBQ dip",x coleslaw x smoky bbq dip
"1 x Carribean Jerk Boneless Grilled Chicken Breast, 1 x Grlld Potatoes, 1 x Grlld Vegetables",x carribean jerk boneless grilled chicken breast x grlld potato x grlld vegetable
1 x Peri Peri Boneless Grilled Chicken Breast,x peri peri boneless grilled chicken breast
"1 x Angara Grilled Chicken Quarter, 1 x Chicken 65 Boneless Grilled Chicken Breast",x angara grilled chicken quarter x chicken boneless grilled chicken breast
1 x Bageecha Pizza,x bageecha pizza
"1 x Masala Potato Pide, 1 x Herbed Potato, 1 x Salted Crisper Fries",x masala potato pide x herbed potato x salted crisper fry
1 x Tripple Cheese Pizza,x tripple cheese pizza
1 x Angara Paneer Melt,x angara paneer melt
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x Angara Paneer Melt,x angara paneer melt
"1 x Angara Paneer Melt, 1 x Mushroom Mozzarella Melt",x angara paneer melt x mushroom mozzarella melt
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
1 x Murgh Amritsari Seekh Melt,x murgh amritsari seekh melt
1 x All About Chicken Pizza,x chicken pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Tipsy Tiger Ginger Ale, 1 x Bageecha Pizza",x tipsy tiger ginger ale x bageecha pizza
"1 x Bellpepper Onion Pizza, 1 x Margherita Pizza, 1 x Bageecha Pizza",x bellpepper onion pizza x margherita pizza x bageecha pizza
2 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
1 x Tripple Cheese Pizza,x tripple cheese pizza
"1 x Bageecha Pizza, 1 x Murgh Amritsari Seekh Melt, 1 x Salted Crisper Fries",x bageecha pizza x murgh amritsari seekh melt x salted crisper fry
"1 x Indian Masala Cripser Fries, 1 x Fried Chicken Strips",x indian masala cripser fry x fried chicken strip
"1 x Murgh Amritsari Seekh Melt, 1 x Jamaican Chicken Melt",x murgh amritsari seekh melt x jamaican chicken melt
1 x Tripple Cheese Pizza,x tripple cheese pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Harisa Mayo, 1 x Masala Paneer Pide, 1 x Peri Peri Paneer Melt, 1 x Chilli Cheese Garlic Bread",x harisa mayo x masala paneer pide x peri peri paneer melt x chilli cheese garlic bread
"1 x Jamaican Chicken Melt, 1 x Bageecha Pizza, 1 x Peri Peri Crisper Fries",x jamaican chicken melt x bageecha pizza x peri peri crisper fry
"1 x Tripple Cheese Pizza, 1 x Makhani Paneer Pizza",x tripple cheese pizza x makhani paneer pizza
"1 x Makhani Paneer Pizza, 1 x Tripple Cheese Pizza",x makhani paneer pizza x tripple cheese pizza
"1 x Fried Chicken Strips, 1 x Chicken Pepperoni Pizza, 1 x Margherita Pizza, 2 x Cheesy Garlic Bread, 1 x Herbed Potato",x fried chicken strip x chicken pepperoni pizza x margherita pizza x cheesy garlic bread x herbed potato
"1 x Mushroom Pizza, 1 x All About Chicken Pizza",x mushroom pizza x chicken pizza
"1 x Bageecha Pizza, 1 x Jamaican Chicken Melt",x bageecha pizza x jamaican chicken melt
"1 x Spinach Sumac Pide, 1 x Bageecha Pizza",x spinach sumac pide x bageecha pizza
"1 x Murgh Amritsari Garlic Bread, 1 x Pepperoni Garlic Bread",x murgh amritsari garlic bread x pepperoni garlic bread
"2 x Chilli Cheese Garlic Bread, 2 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
1 x Desi Pepperoni Pizza,x desi pepperoni pizza
"1 x Tripple Cheese Pizza, 1 x Murgh Amritsari Seekh Pide",x tripple cheese pizza x murgh amritsari seekh pide
"1 x Chicken Pepperoni Pizza, 1 x Margherita Pizza",x chicken pepperoni pizza x margherita pizza
"1 x Mutton Seekh Pide, 1 x Murgh Amritsari Seekh Melt",x mutton seekh pide x murgh amritsari seekh melt
2 x Chicken Pepperoni Pizza,x chicken pepperoni pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Jamaican Chicken Melt",x murgh amritsari seekh pide x jamaican chicken melt
"1 x Desi Chicken Pepperoni Pizza, 1 x Tripple Cheese Pizza",x desi chicken pepperoni pizza x tripple cheese pizza
"1 x Masala Potato Pide, 1 x Masala Paneer Pide",x masala potato pide x masala paneer pide
"1 x Indian Masala Cripser Fries, 1 x Cheesy Garlic Bread, 1 x Bageecha Pizza, 2 x Salted Crisper Fries, 1 x All About Chicken Pizza",x indian masala cripser fry x cheesy garlic bread x bageecha pizza x salted crisper fry x chicken pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Masala Paneer Pide",x murgh amritsari seekh pide x masala paneer pide
2 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Fried Chicken Strips, 1 x Cheesy Garlic Bread",x fried chicken strip x cheesy garlic bread
"1 x Peri Peri Grilled Chicken Pizza, 1 x Just Pepperoni Pizza",x peri peri grilled chicken pizza x pepperoni pizza
"1 x Just Pepperoni Pizza, 1 x Peri Peri Grilled Chicken Pizza",x pepperoni pizza x peri peri grilled chicken pizza
2 x All About Chicken Pizza,x chicken pizza
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza, 1 x Indian Masala Cripser Fries, 1 x Chilli Cheese Garlic Bread",x makhani paneer pizza x bageecha pizza x indian masala cripser fry x chilli cheese garlic bread
2 x Bageecha Pizza,x bageecha pizza
"1 x Bageecha Pizza, 1 x Mushroom Mozzarella Melt",x bageecha pizza x mushroom mozzarella melt
"1 x Tripple Cheese Pizza, 1 x Murgh Amritsari Seekh Pide",x tripple cheese pizza x murgh amritsari seekh pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Brocolli Onion Pizza, 1 x Mushroom Pizza, 1 x Herbed Potato, 1 x Chilli Cheese Garlic Bread",x brocolli onion pizza x mushroom pizza x herbed potato x chilli cheese garlic bread
"1 x Bageecha Pizza, 1 x All About Chicken Pizza",x bageecha pizza x chicken pizza
1 x Just Pepperoni Pide,x pepperoni pide
"1 x Chilli Cheese Garlic Bread, 1 x Cafreal Sauce",x chilli cheese garlic bread x cafreal sauce
1 x All About Chicken Pizza,x chicken pizza
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli cheese garlic bread
"1 x Cheesy Garlic Bread, 1 x Just Pepperoni Pizza",x cheesy garlic bread x pepperoni pizza
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Cheesy Garlic Bread, 1 x Just Pepperoni Pide, 1 x Peri Peri Grilled Chicken Pizza",x cheesy garlic bread x pepperoni pide x peri peri grilled chicken pizza
"1 x Indian Pico De-Gallo, 1 x Tripple Cheese Pizza, 1 x Peri Peri Crisper Fries",x indian pico degallo x tripple cheese pizza x peri peri crisper fry
2 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
"1 x Angara Paneer Melt, 1 x Cheesy Garlic Bread, 1 x Salted Crisper Fries, 1 x Margherita Pizza",x angara paneer melt x cheesy garlic bread x salted crisper fry x margherita pizza
1 x Mushroom Pizza,x mushroom pizza
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
1 x Angara Paneer Melt,x angara paneer melt
"1 x Mutton Seekh Pide, 1 x Fried Chicken Strips",x mutton seekh pide x fried chicken strip
"1 x Mushroom Mozzarella Melt, 1 x OG Cheese Pide",x mushroom mozzarella melt x og cheese pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Bageecha Pizza, 1 x Mushroom Mozzarella Melt",x bageecha pizza x mushroom mozzarella melt
1 x Animal Fries,x animal fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x AAC Grilled Chicken Burger,x aac grilled chicken burger
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken smoky bbq tender x grilled chicken jamaican tender
2 x Grilled Chicken Angara Tangdi,x grilled chicken angara tangdi
"1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries, 1 x Grilled Chicken Jamaican Tender",x fried chicken peri peri tender peri peri fry x grilled chicken jamaican tender
2 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Fried Chicken Classic Tender, 1 x Animal Fries",x fried chicken classic tender x animal fry
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Angara Aloo Tuk Tuki, 1 x Angara Rice",x angara aloo tuk tuki x angara rice
"1 x Bone in Peri Peri Grilled Chicken, 1 x Grilled Chicken Ghostbuster Tangdi",x bone peri peri grilled chicken x grilled chicken ghostbuster tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tangdi,x grilled chicken smoky bbq tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"2 x Garlic Aioli, 1 x Animal Fries, 1 x Onion Bombs",x garlic aioli x animal fry x onion bomb
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Grilled Chicken Peri Peri Tender, 1 x Peri Peri Crisper Fries",x grilled chicken peri peri tender x peri peri crisper fry
1 x Animal Fries,x animal fry
1 x Grilled Chicken Ghostbuster Tangdi,x grilled chicken ghostbuster tangdi
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Animal Fries,x animal fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
"1 x Animal Fries, 1 x Garlic Aioli, 1 x Grilled Chicken Smoky BBQ Tender",x animal fry x garlic aioli x grilled chicken smoky bbq tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Angara Rice, 1 x Bone in Jamaican Grilled Chicken, 1 x India Dynamite sauce",x angara rice x bone jamaican grilled chicken x india dynamite sauce
"1 x Fried Chicken Classic Tender, 1 x AAC Fried Paneer Burger",x fried chicken classic tender x aac fried paneer burger
"1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Jamaican Tender",x grilled chicken angara tender x grilled chicken jamaican tender
1 x Animal Fries,x animal fry
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Angara Boneless Grilled Chicken Breast,x angara boneless grilled chicken breast
1 x Angara Boneless Grilled Chicken Breast,x angara boneless grilled chicken breast
1 x Peri Peri Boneless Grilled Chicken Breast,x peri peri boneless grilled chicken breast
1 x Angara Boneless Grilled Chicken Breast,x angara boneless grilled chicken breast
1 x Fried Chicken Bites (Bone) - 4pcs,x fried chicken bite bone
1 x Tipsy Tiger Ginger Ale,x tipsy tiger ginger ale
"1 x Fried Chicken Angara Tender, 1 x Bone in Jamaican Grilled Chicken",x fried chicken angara tender x bone jamaican grilled chicken
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x AAC Signature Fries",x bone smoky bbq grilled chicken x aac signature fry
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Fried Chicken Peri Peri Tender",x grilled chicken smoky bbq tangdi x fried chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x AAC Grilled Chicken Burger",x bone jamaican grilled chicken x aac grilled chicken burger
1 x Fried Chicken Ghostbuster Tender,x fried chicken ghostbuster tender
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Fried Chicken Ghostbuster Tender,x fried chicken ghostbuster tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x AAC Signature Fries",x bone smoky bbq grilled chicken x aac signature fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tangdi,x grilled chicken smoky bbq tangdi
"2 x Angara Rice, 1 x Grilled Chicken Smoky BBQ Tangdi, 2 x Fried Chicken Peri Peri Tender",x angara rice x grilled chicken smoky bbq tangdi x fried chicken peri peri tender
1 x Animal Fries,x animal fry
"1 x Onion Rings, 1 x Bone in Smoky Bbq Grilled Chicken",x onion ring x bone smoky bbq grilled chicken
1 x Bone in Kabuli Grilled Chicken,x bone kabuli grilled chicken
"1 x Grilled Chicken Peri Peri Tender, 1 x Bone in Kabuli Grilled Chicken",x grilled chicken peri peri tender x bone kabuli grilled chicken
1 x Fried Chicken Ghostbuster Tender,x fried chicken ghostbuster tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Raw Masala Lemon Shikanji, 1 x Bone in Jamaican Grilled Chicken",x raw masala lemon shikanji x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Tangdi Jamaican + Salted Krispers,x grilled chicken tangdi jamaican salted krispers
1 x Animal Fries,x animal fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Kabuli Tender, 1 x Bone in Peri Peri Grilled Chicken",x fried chicken kabuli tender x bone peri peri grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Angara Tender",x bone jamaican grilled chicken x fried chicken angara tender
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Fried Chicken Classic Tender,x fried chicken classic tender
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
"1 x Peri Peri Sauce, 1 x Garlic Aioli, 1 x Bone in Jamaican Grilled Chicken",x peri peri sauce x garlic aioli x bone jamaican grilled chicken
